SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
285,1768267284,222,-20,7914,94,82,-29,111.38,0.1,-2.24,1
286,1768267284,200,10,7974,106,79,-27,111.38,0.12,-2.09,1
287,1768267284,280,-16,7988,104,81,-30,111.38,0.1,-2.1,1
288,1768267284,282,20,8040,107,79,-24,111.38,0.13,-2.1,1
289,1768267284,310,12,8022,103,82,-25,111.38,0.15,-2.14,1
290,1768267284,278,-12,8020,102,78,-26,111.38,0.12,-2.13,1
291,1768267284,272,-40,7968,99,80,-29,111.38,0.06,-2.11,1
292,1768267284,260,-60,7992,98,76,-29,111.38,0.0,-2.08,1
293,1768267284,208,-14,8066,104,80,-26,111.38,0.0,-1.98,1
294,1768267284,282,-44,8012,103,82,-34,111.38,-0.03,-2.0,1
295,1768267284,284,-22,8002,100,83,-31,111.38,-0.03,-2.03,1
296,1768267284,286,22,8058,97,82,-27,111.38,0.02,-2.05,1
297,1768267284,282,34,8052,105,83,-28,111.38,0.09,-2.06,1
298,1768267284,298,40,7958,101,80,-26,111.38,0.15,-2.09,1
299,1768267284,274,-24,8040,106,79,-27,111.38,0.11,-2.08,1
300,1768267284,182,-22,8266,103,82,-31,111.38,0.08,-1.94,1
301,1768267284,252,-26,8048,97,83,-31,111.38,0.05,-1.93,1
302,1768267284,286,-14,7980,99,79,-32,111.38,0.05,-1.97,1
303,1768267284,306,-30,8056,104,83,-24,161.29,0.02,-2.03,1
304,1768267284,182,10,7998,101,76,-26,161.29,0.05,-1.9,1
305,1768267284,228,28,7902,98,77,-29,161.29,0.11,-1.87,1
306,1768267284,398,40,7792,102,83,-29,161.29,0.17,-2.1,1
307,1768267284,412,14,7782,100,80,-22,161.29,0.18,-2.31,1
308,1768267284,238,-20,7988,99,77,-25,161.29,0.14,-2.2,1
309,1768267284,324,-32,7966,94,80,-32,161.29,0.09,-2.25,1
310,1768267284,346,10,7980,97,77,-25,161.29,0.11,-2.31,1
311,1768267284,260,-46,7992,97,78,-25,161.29,0.04,-2.24,1
312,1768267284,316,-64,7976,99,85,-27,161.29,-0.03,-2.27,1
313,1768267284,356,12,7938,103,85,-30,161.29,0.01,-2.35,1
314,1768267284,280,34,7948,105,82,-29,161.29,0.08,-2.3,1
315,1768267284,292,-10,7982,94,83,-21,161.29,0.07,-2.28,1
316,1768267284,226,8,7970,101,85,-26,161.29,0.09,-2.17,1
317,1768267284,224,-30,8012,101,81,-33,161.29,0.06,-2.07,1
318,1768267284,282,-60,7960,96,83,-40,161.29,-0.01,-2.08,1
319,1768267284,304,-60,7962,96,77,-39,161.29,-0.07,-2.12,1
320,1768267284,326,-2,8024,101,79,-41,161.29,-0.03,-2.18,1
321,1768267285,384,-22,7972,102,82,-29,161.29,-0.03,-2.32,1
322,1768267285,430,-40,7948,96,88,-19,161.29,-0.06,-2.49,1
323,1768267285,318,10,8000,100,89,-20,161.29,-0.01,-2.47,1
324,1768267285,222,20,7998,110,92,-18,161.29,0.04,-2.32,1
325,1768267285,108,-2,8040,98,95,-20,161.29,0.05,-2.03,1
326,1768267285,162,16,8030,101,87,-28,161.29,0.09,-1.87,1
327,1768267285,234,24,7964,99,84,-27,161.29,0.13,-1.86,1
328,1768267285,278,14,8116,94,83,-39,111.1,0.14,-1.9,1
329,1768267285,284,-54,7924,88,114,-41,111.1,0.06,-1.95,1
330,1768267285,310,-42,8036,105,81,-39,111.1,0.01,-2.02,1
331,1768267285,270,18,8028,109,72,-41,111.1,0.06,-2.02,1
332,1768267285,228,32,8070,100,74,-34,111.1,0.12,-1.96,1
333,1768267285,288,10,8024,99,75,-28,111.1,0.13,-1.99,1
334,1768267285,292,-26,7982,95,84,-30,111.1,0.09,-2.03,1
335,1768267285,342,-52,8014,101,77,-32,111.1,0.02,-2.13,1
336,1768267285,324,-80,7986,93,76,-42,111.1,-0.07,-2.19,1
337,1768267285,308,-8,7998,107,73,-41,111.1,-0.04,-2.21,1
338,1768267285,326,28,7988,99,79,-38,111.1,0.03,-2.25,1
339,1768267285,324,92,8068,99,83,-24,111.1,0.17,-2.28,1
340,1768267285,250,70,8034,104,84,-22,111.1,0.26,-2.2,1
341,1768267285,272,-4,7902,97,86,-21,111.1,0.23,-2.18,1
342,1768267285,212,-4,8014,101,88,-26,111.1,0.2,-2.06,1
343,1768267285,270,40,8018,98,92,-31,111.1,0.24,-2.06,1
344,1768267285,346,-44,8006,98,92,-26,111.1,0.15,-2.16,1
345,1768267285,320,-92,7998,99,92,-26,111.1,0.01,-2.21,1
346,1768267285,206,-4,7990,105,89,-28,111.1,0.03,-2.08,1
347,1768267285,250,12,7970,101,95,-29,111.1,0.06,-2.05,1
348,1768267285,332,-10,7976,94,87,-32,111.1,0.06,-2.14,1
349,1768267285,316,34,7998,100,85,-32,111.1,0.12,-2.18,1
350,1768267285,246,40,7980,98,89,-26,111.1,0.18,-2.12,1
351,1768267285,270,-68,7986,102,95,-24,111.1,0.07,-2.1,1
352,1768267285,276,-26,8018,99,86,-28,111.1,0.04,-2.1,1
353,1768267285,254,-20,7976,105,85,-29,140.4,0.03,-2.06,1
354,1768267285,288,-14,8034,102,92,-37,140.4,0.03,-2.08,1
355,1768267285,270,2,7958,100,89,-32,140.4,0.05,-2.08,1
356,1768267285,246,46,8076,100,88,-28,140.4,0.13,-2.03,1
357,1768267285,296,-20,7994,104,82,-27,140.4,0.1,-2.07,1
358,1768267285,268,0,7998,100,88,-31,140.4,0.1,-2.06,1
359,1768267285,272,-10,8058,101,97,-26,140.4,0.09,-2.06,1
360,1768267285,278,-16,7946,98,91,-32,140.4,0.07,-2.07,1
361,1768267285,274,40,8020,103,87,-33,140.4,0.14,-2.06,1
362,1768267285,264,-22,8010,104,89,-32,140.4,0.1,-2.05,1
363,1768267285,294,-12,8010,103,93,-33,140.4,0.09,-2.08,1
364,1768267285,386,52,7742,103,99,-34,140.4,0.17,-2.26,1
365,1768267285,244,16,8002,100,93,-30,140.4,0.18,-2.18,1
366,1768267285,262,44,8048,104,94,-32,140.4,0.23,-2.14,1
367,1768267285,250,38,8020,98,89,-30,140.4,0.27,-2.09,1
368,1768267285,260,46,7960,97,88,-33,140.4,0.3,-2.07,1
369,1768267285,272,-18,8040,99,87,-30,140.4,0.24,-2.06,1
370,1768267285,256,0,7998,102,86,-27,140.4,0.21,-2.03,1
371,1768267286,262,-22,7966,100,89,-28,140.4,0.16,-2.03,1
372,1768267286,266,-48,7994,95,90,-30,140.4,0.08,-2.02,1
373,1768267286,266,14,8044,103,91,-28,140.4,0.11,-2.02,1
